rrs_library_id	sample_id	filename_r1	filename_r2	rrs_library_notes	sra_accession
DFS.029.E3	DS0097_040	DFS.029.E3_R1.fastq	DFS.029.E3_R2.fastq		SRR15102531
DFS.029.E4	DS0097_041	DFS.029.E4_R1.fastq	DFS.029.E4_R2.fastq		SRR15102530
DFS.029.E5	DS0097_042	DFS.029.E5_R1.fastq	DFS.029.E5_R2.fastq		SRR15102529
DFS.029.FMTi	DS0097_037	DFS.029.FMTi_R1.fastq	DFS.029.FMTi_R2.fastq		SRR15102528
DFS.029.Post.1	SS01064	DFS.029.Post.1_R1.fastq	DFS.029.Post.1_R2.fastq		SRR15102527
DFS.029.Post.2	SS01065	DFS.029.Post.2_R1.fastq	DFS.029.Post.2_R2.fastq		SRR15102525
DFS.029.Post.4	SS01071	DFS.029.Post.4_R1.fastq	DFS.029.Post.4_R2.fastq		SRR15102524
DFS.029.Post.8	SS01106	DFS.029.Post.8_R1.fastq	DFS.029.Post.8_R2.fastq		SRR15102523
DFS.031.Baseline	SS01041	DFS.031.Baseline_R1.fastq	DFS.031.Baseline_R2.fastq	apparent mistake previously had this library mapped to sample_id SS01095;	SRR15102522
DFS.031.Cap3	DS0485_004	DFS.031.Cap3_R1.fastq	DFS.031.Cap3_R2.fastq	slightly ambiguous mapping from sample to library;	SRR15102521
DFS.031.Cap3.2	DS0485_004	DFS.031.Cap3.2_R1.fastq	DFS.031.Cap3.2_R2.fastq	slightly ambiguous mapping from sample to library;	SRR15102520
DFS.031.FMTi	DS0485_003	DFS.031.FMTi_R1.fastq	DFS.031.FMTi_R2.fastq		SRR15102519
DFS.031.Post.1	SS01045	DFS.031.Post.1_R1.fastq	DFS.031.Post.1_R2.fastq		SRR15102518
DFS.031.Post.2	SS01049	DFS.031.Post.2_R1.fastq	DFS.031.Post.2_R2.fastq		SRR15102517
DFS.031.Post.3	SS01050	DFS.031.Post.3_R1.fastq	DFS.031.Post.3_R2.fastq		SRR15102516
DFS.031.Post.7	SS01061	DFS.031.Post.7_R1.fastq	DFS.031.Post.7_R2.fastq		SRR15102514
DFS.037.Baseline	SS01095	DFS.037.Baseline_R1.fastq	DFS.037.Baseline_R2.fastq		SRR15102513
DFS.037.FMTi	DS0485_005	DFS.037.FMTi_R1.fastq	DFS.037.FMTi_R2.fastq		SRR15102512
DFS.037.Post.1	SS01104	DFS.037.Post.1_R1.fastq	DFS.037.Post.1_R2.fastq		SRR15102511
DFS.037.Post.2	SS01110	DFS.037.Post.2_R1.fastq	DFS.037.Post.2_R2.fastq		SRR15102510
DFS.037.Post.3	SS01111	DFS.037.Post.3_R1.fastq	DFS.037.Post.3_R2.fastq		SRR15102509
DFS.037.Post.5	SS01114	DFS.037.Post.5_R1.fastq	DFS.037.Post.5_R2.fastq		SRR15102508
DFS.037.Post.7	SS01122	DFS.037.Post.7_R1.fastq	DFS.037.Post.7_R2.fastq		SRR15102507
DFS.037.post.abx	SS01096	DFS.037.post.abx_R1.fastq	DFS.037.post.abx_R2.fastq		SRR15102506
DFS.041.Baseline	SS01117			missing from an older version of this table;	
DFS.041.FMTi	DS0044_002	DFS.041.FMTi_R1.fastq	DFS.041.FMTi_R2.fastq		SRR15102505
